,estado,lat,lon,capital
0,CIUDAD DE MÉXICO,19.40153,-99.135415,
1,SINALOA,24.805213,-107.396538,CULIACAN
2,COAHUILA,27.177668,-101.87619,SALTILLO
3,CHIAPAS,16.756774,-93.139526,TUXTLA GUTIERREZ
4,MÉXICO,19.385644,-99.674101,TOLUCA
5,QUERETARO,20.606296,-100.396495,QUERETARO
6,NUEVO LEÓN,25.523678,-99.866745,MONTERREY
7,DURANGO,24.698052,-104.837389,DURANGO
8,PUEBLA,18.827949,-97.911607,PUEBLA
9,YUCATÁN,20.756426,-88.976256,MERIDA
10,QUINTANA ROO,19.528813,-88.094392,CHETUMAL
11,SAN LUIS POTOSÍ,22.15287,-100.971217,SAN LUIS POTOSÍ
12,JALISCO,20.491545,-103.726223,GUADALAJARA
13,OAXACA,16.642155,-96.704747,OAXACA
14,GUERRERO,17.488193,-99.912144,CHILPANCINGO
15,AGUASCALIENTES,21.877392,-102.278264,AGUASCALIENTES
16,GUANAJUATO,21.056379,-100.964048,GUANAJUATO
17,CHIHUAHUA,28.450098,-106.110482,CHIHUAHUA
18,TAMAULIPAS,23.894994,-98.59103,CIUDAD VICTORIO
19,SONORA,29.436925,-110.514242,HERMOSILLO
20,VERACRUZ,19.541197,-96.597817,XALAPA
21,COLIMA,19.154457,-103.858376,COLIMA
22,BAJA CALIFORNIA,30.163889,-115.271327,MEXICALI
23,HIDALGO,20.391071,-98.892267,PACHUCA
24,TABASCO,18.087329,-92.638754,VILLAHERMOSA
25,MORELOS,18.780715,-99.108338,CUERNAVACA
26,NAYARIT,21.701319,-104.668144,TEPIC
27,ZACATECAS,23.443961,-102.758527,ZACATECAS
28,BAJA CALIFORNIA SUR,26.229542,-111.93681,LA PAZ
29,MICHOACÁN,19.473371,-101.826452,MORELIA
30,CAMPECHE,18.918481,-90.171292,CAMPECHE
31,TLAXCALA,19.377285,-98.17312,TLAXCALA
